Timestamp,Value
2011-03-07 06:25:32,2
2011-03-07 09:15:55,3
2011-03-07 12:00:00,3
2011-03-07 12:03:27,2
2011-03-07 20:23:01,0
2011-03-07 20:25:55,3
2011-03-07 20:32:27,2
2011-03-07 20:53:01,0
2011-03-08 20:25:55,3
2011-03-08 20:32:27,2
2011-03-08 20:53:01,0
2011-03-09 20:25:55,3
2011-03-09 20:32:27,2
2011-03-09 20:53:01,0
2011-03-16 20:25:55,3
2011-03-16 20:32:27,2
2011-03-16 20:53:01,0
2011-03-17 20:25:55,3
2011-03-17 20:32:27,2
2011-03-17 20:53:01,0
2011-03-18 20:25:55,3
2011-03-18 20:32:27,2
2011-03-18 20:53:01,0
2011-03-19 20:25:55,3
2011-03-19 20:32:27,2
2011-03-19 20:53:01,0